"Plot Title: 1418 Bedroom "
"#","Time, GMT-08:00","Temp, ¡C()","RH, %()","Intensity, Lux()"
1,09-02-18 20:25:00 ,19.413,50.229,35.5
2,09-02-18 20:30:00 ,18.438,53.562,35.5
3,09-02-18 20:35:00 ,17.796,56.253,35.5
4,09-02-18 20:40:00 ,17.368,58.265,35.5
5,09-02-18 20:45:00 ,17.130,59.566,35.5
6,09-02-18 20:50:00 ,16.963,60.573,35.5
7,09-02-18 20:55:00 ,16.868,61.144,35.5
8,09-02-18 21:00:00 ,16.796,61.425,35.5
9,09-02-18 21:05:00 ,16.939,62.439,35.5
10,09-02-18 21:10:00 ,18.200,61.094,35.5
11,09-02-18 21:15:00 ,20.055,56.768,35.5
12,09-02-18 21:20:00 ,21.700,52.675,35.5
13,09-02-18 21:25:00 ,23.016,49.456,35.5
14,09-02-18 21:30:00 ,24.050,47.064,43.4
15,09-02-18 21:35:00 ,24.871,45.095,35.5
16,09-02-18 21:40:00 ,25.550,43.914,43.4
17,09-02-18 21:45:00 ,26.109,42.708,35.5
18,09-02-18 21:50:00 ,26.598,41.685,35.5
19,09-02-18 21:55:00 ,27.014,40.849,35.5
20,09-02-18 22:00:00 ,27.382,40.276,43.4
21,09-02-18 22:05:00 ,27.702,39.627,43.4
22,09-02-18 22:10:00 ,27.899,39.168,43.4
23,09-02-18 22:15:00 ,27.235,39.852,43.4
24,09-02-18 22:20:00 ,25.987,41.753,43.4
25,09-02-18 22:25:00 ,24.798,43.629,43.4
26,09-02-18 22:30:00 ,23.809,45.431,43.4
27,09-02-18 22:35:00 ,22.968,46.769,43.4
28,09-02-18 22:40:00 ,22.753,47.974,43.4
29,09-02-18 22:45:00 ,23.713,46.794,43.4
30,09-02-18 22:50:00 ,25.016,44.451,43.4
31,09-02-18 22:55:00 ,26.061,42.635,43.4
32,09-02-18 23:00:00 ,26.329,41.655,43.4
33,09-02-18 23:05:00 ,25.550,42.646,43.4
34,09-02-18 23:10:00 ,24.557,44.133,43.4
35,09-02-18 23:15:00 ,23.641,45.641,43.4
36,09-02-18 23:20:00 ,22.896,46.988,43.4
37,09-02-18 23:25:00 ,22.274,48.140,43.4
38,09-02-18 23:30:00 ,22.369,48.892,43.4
39,09-02-18 23:35:00 ,23.521,47.162,43.4
40,09-02-18 23:40:00 ,24.291,45.159,43.4
41,09-02-18 23:45:00 ,23.978,45.221,43.4
42,09-02-18 23:50:00 ,23.280,46.220,3.9
43,09-02-18 23:55:00 ,22.561,47.627,3.9
44,09-02-19 00:00:00 ,21.963,48.712,3.9
45,09-02-19 00:05:00 ,21.461,49.799,3.9
46,09-02-19 00:10:00 ,21.032,50.759,3.9
47,09-02-19 00:15:00 ,20.674,51.531,3.9
48,09-02-19 00:20:00 ,20.365,52.337,3.9
49,09-02-19 00:25:00 ,20.079,53.015,3.9
50,09-02-19 00:30:00 ,19.817,53.631,3.9
51,09-02-19 00:35:00 ,19.603,54.251,3.9
52,09-02-19 00:40:00 ,19.365,54.771,3.9
53,09-02-19 00:45:00 ,19.175,55.235,3.9
54,09-02-19 00:50:00 ,18.985,55.574,3.9
55,09-02-19 00:55:00 ,18.818,56.069,3.9
56,09-02-19 01:00:00 ,18.652,56.439,3.9
57,09-02-19 01:05:00 ,18.485,56.688,3.9
58,09-02-19 01:10:00 ,18.343,57.120,3.9
59,09-02-19 01:15:00 ,18.224,57.434,3.9
60,09-02-19 01:20:00 ,18.081,57.684,3.9
61,09-02-19 01:25:00 ,17.986,58.060,3.9
62,09-02-19 01:30:00 ,17.867,58.281,3.9
63,09-02-19 01:35:00 ,17.748,58.652,3.9
64,09-02-19 01:40:00 ,17.653,58.846,3.9
65,09-02-19 01:45:00 ,17.534,59.125,3.9
66,09-02-19 01:50:00 ,17.439,59.259,3.9
67,09-02-19 01:55:00 ,17.344,59.689,3.9
68,09-02-19 02:00:00 ,17.272,59.973,3.9
69,09-02-19 02:05:00 ,17.177,60.106,3.9
70,09-02-19 02:10:00 ,17.082,60.297,3.9
71,09-02-19 02:15:00 ,17.011,60.610,3.9
72,09-02-19 02:20:00 ,16.915,60.741,3.9
73,09-02-19 02:25:00 ,16.844,60.994,3.9
74,09-02-19 02:30:00 ,16.773,61.041,3.9
75,09-02-19 02:35:00 ,16.677,61.377,3.9
76,09-02-19 02:40:00 ,16.630,61.369,3.9
77,09-02-19 02:45:00 ,16.534,61.471,3.9
78,09-02-19 02:50:00 ,16.463,61.576,3.9
79,09-02-19 02:55:00 ,16.392,61.681,3.9
80,09-02-19 03:00:00 ,16.320,61.931,3.9
81,09-02-19 03:05:00 ,16.225,62.061,3.9
82,09-02-19 03:10:00 ,16.153,62.194,3.9
83,09-02-19 03:15:00 ,16.082,62.269,3.9
84,09-02-19 03:20:00 ,16.034,62.580,3.9
85,09-02-19 03:25:00 ,15.963,62.539,3.9
86,09-02-19 03:30:00 ,15.891,62.643,3.9
87,09-02-19 03:35:00 ,15.819,62.660,3.9
88,09-02-19 03:40:00 ,15.748,62.879,3.9
89,09-02-19 03:45:00 ,15.700,63.015,3.9
90,09-02-19 03:50:00 ,15.629,63.204,3.9
91,09-02-19 03:55:00 ,15.581,63.369,3.9
92,09-02-19 04:00:00 ,15.533,63.418,3.9
93,09-02-19 04:05:00 ,15.461,63.435,3.9
94,09-02-19 04:10:00 ,15.414,63.570,3.9
95,09-02-19 04:15:00 ,15.342,63.844,3.9
96,09-02-19 04:20:00 ,15.294,63.750,3.9
97,09-02-19 04:25:00 ,15.247,63.799,3.9
98,09-02-19 04:30:00 ,15.175,63.787,3.9
99,09-02-19 04:35:00 ,15.127,63.950,3.9
100,09-02-19 04:40:00 ,15.055,63.938,3.9
101,09-02-19 04:45:00 ,15.008,64.073,3.9
102,09-02-19 04:50:00 ,14.960,64.093,3.9
103,09-02-19 04:55:00 ,14.912,64.114,3.9
104,09-02-19 05:00:00 ,14.840,64.471,3.9
105,09-02-19 05:05:00 ,14.816,64.325,3.9
106,09-02-19 05:10:00 ,14.792,64.435,3.9
107,09-02-19 05:15:00 ,14.745,64.341,3.9
108,09-02-19 05:20:00 ,14.697,64.532,3.9
109,09-02-19 05:25:00 ,14.649,64.580,3.9
110,09-02-19 05:30:00 ,14.601,64.600,3.9
111,09-02-19 05:35:00 ,14.553,64.365,3.9
112,09-02-19 05:40:00 ,14.505,64.272,3.9
113,09-02-19 05:45:00 ,14.457,64.264,3.9
114,09-02-19 05:50:00 ,14.409,64.284,3.9
115,09-02-19 05:55:00 ,14.337,64.328,3.9
116,09-02-19 06:00:00 ,14.290,64.349,3.9
117,09-02-19 06:05:00 ,14.242,64.425,3.9
118,09-02-19 06:10:00 ,14.194,64.531,3.9
119,09-02-19 06:15:00 ,14.146,64.720,3.9
120,09-02-19 06:20:00 ,14.098,64.712,3.9
121,09-02-19 06:25:00 ,14.050,65.015,3.9
122,09-02-19 06:30:00 ,14.002,65.288,3.9
123,09-02-19 06:35:00 ,13.978,65.171,3.9
124,09-02-19 06:40:00 ,13.930,65.078,3.9
125,09-02-19 06:45:00 ,13.882,65.267,3.9
126,09-02-19 06:50:00 ,13.834,65.456,3.9
127,09-02-19 06:55:00 ,13.786,65.250,3.9
128,09-02-19 07:00:00 ,13.738,65.242,3.9
129,09-02-19 07:05:00 ,13.690,65.374,3.9
130,09-02-19 07:10:00 ,13.666,65.230,3.9
131,09-02-19 07:15:00 ,13.618,65.221,3.9
132,09-02-19 07:20:00 ,13.594,65.498,3.9
133,09-02-19 07:25:00 ,13.546,65.854,3.9
134,09-02-19 07:30:00 ,13.522,65.989,3.9
135,09-02-19 07:35:00 ,13.497,66.376,3.9
136,09-02-19 07:40:00 ,13.473,66.400,3.9
137,09-02-19 07:45:00 ,13.425,66.001,3.9
138,09-02-19 07:50:00 ,13.401,66.164,3.9
139,09-02-19 07:55:00 ,13.377,66.271,3.9
140,09-02-19 08:00:00 ,13.353,66.518,11.8
141,09-02-19 08:05:00 ,13.353,66.796,19.7
142,09-02-19 08:10:00 ,13.594,66.699,19.7
143,09-02-19 08:15:00 ,14.960,64.662,27.6
144,09-02-19 08:20:00 ,16.892,60.179,27.6
145,09-02-19 08:25:00 ,18.699,58.138,27.6
146,09-02-19 08:30:00 ,20.246,56.308,35.5
147,09-02-19 08:35:00 ,21.390,52.977,51.2
148,09-02-19 08:40:00 ,22.274,51.050,67.0
149,09-02-19 08:45:00 ,23.040,49.331,74.9
150,09-02-19 08:50:00 ,23.665,47.894,82.8
151,09-02-19 08:55:00 ,24.243,46.793,114.3
152,09-02-19 09:00:00 ,24.677,45.139,74.9
153,09-02-19 09:05:00 ,25.210,44.075,82.8
154,09-02-19 09:10:00 ,25.525,43.445,74.9
155,09-02-19 09:15:00 ,25.963,42.591,82.8
156,09-02-19 09:20:00 ,26.353,42.399,74.9
157,09-02-19 09:25:00 ,26.646,42.633,67.0
158,09-02-19 09:30:00 ,26.965,42.533,51.2
159,09-02-19 09:35:00 ,27.210,42.426,35.5
160,09-02-19 09:40:00 ,27.481,42.455,27.6
161,09-02-19 09:45:00 ,27.776,42.252,19.7
162,09-02-19 09:50:00 ,28.048,41.706,19.7
163,09-02-19 09:55:00 ,28.270,41.323,19.7
164,09-02-19 10:00:00 ,28.518,41.009,11.8
165,09-02-19 10:05:00 ,28.593,40.540,19.7
166,09-02-19 10:10:00 ,27.949,41.186,19.7
167,09-02-19 10:15:00 ,26.769,43.351,11.8
168,09-02-19 10:20:00 ,25.525,45.106,11.8
169,09-02-19 10:25:00 ,24.484,46.921,11.8
170,09-02-19 10:30:00 ,23.665,48.476,19.7
171,09-02-19 10:35:00 ,23.016,50.000,19.7
172,09-02-19 10:40:00 ,22.465,51.360,19.7
173,09-02-19 10:45:00 ,21.963,52.397,19.7
174,09-02-19 10:50:00 ,21.581,53.379,11.8
175,09-02-19 10:55:00 ,21.223,54.356,11.8
176,09-02-19 11:00:00 ,20.936,54.687,27.6
177,09-02-19 11:05:00 ,20.698,55.178,19.7
178,09-02-19 11:10:00 ,20.460,55.666,35.5
179,09-02-19 11:15:00 ,20.293,56.224,27.6
180,09-02-19 11:20:00 ,20.126,56.657,19.7
181,09-02-19 11:25:00 ,19.960,56.998,11.8
182,09-02-19 11:30:00 ,19.817,57.371,11.8
183,09-02-19 11:35:00 ,19.674,57.683,11.8
184,09-02-19 11:40:00 ,19.555,58.057,11.8
185,09-02-19 11:45:00 ,19.436,58.341,11.8
186,09-02-19 11:50:00 ,19.318,58.533,11.8
187,09-02-19 11:55:00 ,19.222,58.758,19.7
188,09-02-19 12:00:00 ,19.151,59.017,19.7
189,09-02-19 12:05:00 ,19.080,59.186,11.8
190,09-02-19 12:10:00 ,19.008,59.503,11.8
191,09-02-19 12:15:00 ,18.937,59.611,11.8
192,09-02-19 12:20:00 ,18.866,59.808,11.8
193,09-02-19 12:25:00 ,18.818,59.860,11.8
194,09-02-19 12:30:00 ,18.842,61.315,11.8
195,09-02-19 12:35:00 ,19.032,63.192,11.8
196,09-02-19 12:40:00 ,19.246,63.606,11.8
197,09-02-19 12:45:00 ,19.436,65.803,11.8
198,09-02-19 12:50:00 ,19.674,71.938,11.8
199,09-02-19 12:55:00 ,19.888,75.505,11.8
200,09-02-19 13:00:00 ,20.007,75.154,11.8
201,09-02-19 13:05:00 ,19.984,73.065,3.9
202,09-02-19 13:10:00 ,19.888,71.731,3.9
203,09-02-19 13:15:00 ,19.793,70.912,3.9
204,09-02-19 13:20:00 ,19.698,70.061,3.9
205,09-02-19 13:25:00 ,19.627,69.490,3.9
206,09-02-19 13:30:00 ,19.579,68.977,3.9
207,09-02-19 13:35:00 ,19.508,68.458,3.9
208,09-02-19 13:40:00 ,19.460,67.970,3.9
209,09-02-19 13:45:00 ,19.413,67.679,3.9
210,09-02-19 13:50:00 ,19.365,67.274,3.9
211,09-02-19 13:55:00 ,19.318,66.953,3.9
212,09-02-19 14:00:00 ,19.270,66.717,3.9
213,09-02-19 14:05:00 ,19.246,66.571,3.9
214,09-02-19 14:10:00 ,19.222,66.253,3.9
215,09-02-19 14:15:00 ,19.222,66.196,3.9
216,09-02-19 14:20:00 ,19.199,66.191,3.9
217,09-02-19 14:25:00 ,19.175,65.815,3.9
218,09-02-19 14:30:00 ,19.151,65.783,3.9
219,09-02-19 14:35:00 ,19.151,65.697,3.9
220,09-02-19 14:40:00 ,19.151,65.496,3.9
221,09-02-19 14:45:00 ,19.151,65.352,3.9
222,09-02-19 14:50:00 ,19.127,65.205,3.9
223,09-02-19 14:55:00 ,19.127,65.118,3.9
224,09-02-19 15:00:00 ,19.127,65.118,3.9
225,09-02-19 15:05:00 ,19.151,64.979,3.9
226,09-02-19 15:10:00 ,19.151,64.748,3.9
227,09-02-19 15:15:00 ,19.151,64.401,3.9
228,09-02-19 15:20:00 ,19.151,64.228,3.9
229,09-02-19 15:25:00 ,19.151,64.286,3.9
230,09-02-19 15:30:00 ,19.151,64.199,3.9
231,09-02-19 15:35:00 ,19.151,64.112,3.9
232,09-02-19 15:40:00 ,19.151,63.996,3.9
233,09-02-19 15:45:00 ,19.151,63.822,3.9
234,09-02-19 15:50:00 ,19.175,63.797,3.9
235,09-02-19 15:55:00 ,19.151,63.648,3.9
236,09-02-19 16:00:00 ,19.151,63.590,3.9
237,09-02-19 16:05:00 ,19.127,63.499,3.9
238,09-02-19 16:10:00 ,19.127,63.470,3.9
239,09-02-19 16:15:00 ,19.127,63.353,3.9
240,09-02-19 16:20:00 ,19.151,63.241,3.9
241,09-02-19 16:25:00 ,19.127,63.178,3.9
242,09-02-19 16:30:00 ,19.127,63.091,3.9
243,09-02-19 16:35:00 ,19.127,63.062,3.9
244,09-02-19 16:40:00 ,19.103,63.029,3.9
245,09-02-19 16:45:00 ,19.103,62.970,3.9
246,09-02-19 16:50:00 ,19.103,62.883,3.9
247,09-02-19 16:55:00 ,19.103,62.854,3.9
248,09-02-19 17:00:00 ,19.080,62.850,3.9
249,09-02-19 17:05:00 ,19.056,62.904,3.9
250,09-02-19 17:10:00 ,19.032,62.929,3.9
251,09-02-19 17:15:00 ,19.008,62.896,3.9
252,09-02-19 17:20:00 ,19.008,62.867,3.9
253,09-02-19 17:25:00 ,19.008,62.809,3.9
254,09-02-19 17:30:00 ,18.961,62.742,3.9
255,09-02-19 17:35:00 ,18.937,62.739,3.9
256,09-02-19 17:40:00 ,18.913,62.705,3.9
257,09-02-19 17:45:00 ,18.889,62.702,3.9
258,09-02-19 17:50:00 ,18.842,62.664,3.9
259,09-02-19 17:55:00 ,18.842,62.606,3.9
260,09-02-19 18:00:00 ,18.818,62.573,3.9
261,09-02-19 18:05:00 ,18.794,62.569,3.9
262,09-02-19 18:10:00 ,18.747,62.532,3.9
263,09-02-19 18:15:00 ,18.723,62.528,3.9
264,09-02-19 18:20:00 ,18.675,62.550,3.9
265,09-02-19 18:25:00 ,18.652,62.575,3.9
266,09-02-19 18:30:00 ,18.604,62.567,3.9
267,09-02-19 18:35:00 ,18.580,62.534,3.9
268,09-02-19 18:40:00 ,18.557,62.530,3.9
269,09-02-19 18:45:00 ,18.509,62.405,27.6
270,09-02-19 18:50:00 ,18.438,61.456,35.5
271,09-02-19 18:55:00 ,18.390,61.360,35.5
272,09-02-19 19:00:00 ,18.366,61.444,35.5
273,09-02-19 19:05:00 ,18.366,61.591,35.5
274,09-02-19 19:10:00 ,18.343,61.617,35.5
275,09-02-19 19:15:00 ,18.319,61.789,35.5
276,09-02-19 19:20:00 ,18.295,61.844,35.5
277,09-02-19 19:25:00 ,18.271,62.016,35.5
278,09-02-19 19:30:00 ,18.271,62.016,35.5
279,09-02-19 19:35:00 ,18.271,62.133,35.5
