"Plot Title: 1418 Closet and Attic "
"#","Time, GMT-08:00","Temp, ¡C()","RH, %()","Intensity, Lux()","Temp, ¡C()"
1,09-02-21 10:55:00 ,15.438,71.269,35.5,14.361
2,09-02-21 11:00:00 ,15.700,66.794,11.8,14.170
3,09-02-21 11:05:00 ,15.557,66.320,11.8,14.218
4,09-02-21 11:10:00 ,15.390,66.262,11.8,14.314
5,09-02-21 11:15:00 ,15.294,66.386,11.8,14.409
6,09-02-21 11:20:00 ,15.223,66.542,11.8,14.529
7,09-02-21 11:25:00 ,15.175,66.701,11.8,14.625
8,09-02-21 11:30:00 ,15.151,66.781,11.8,14.745
9,09-02-21 11:35:00 ,15.151,66.865,11.8,14.864
10,09-02-21 11:40:00 ,15.151,67.005,11.8,15.008
11,09-02-21 11:45:00 ,15.175,67.065,11.8,15.127
12,09-02-21 11:50:00 ,15.175,67.149,11.8,15.247
13,09-02-21 11:55:00 ,15.199,67.181,11.8,15.366
14,09-02-21 12:00:00 ,15.223,67.213,11.8,15.485
15,09-02-21 12:05:00 ,15.247,67.217,11.8,15.581
16,09-02-21 12:10:00 ,15.294,67.282,11.8,15.676
17,09-02-21 12:15:00 ,15.318,67.620,11.8,15.796
18,09-02-21 12:20:00 ,15.366,68.129,11.8,16.010
19,09-02-21 12:25:00 ,15.438,69.769,11.8,16.368
20,09-02-21 12:30:00 ,15.557,70.911,11.8,16.749
21,09-02-21 12:35:00 ,15.700,70.775,11.8,16.939
22,09-02-21 12:40:00 ,15.843,70.037,11.8,17.011
23,09-02-21 12:45:00 ,15.963,69.702,11.8,17.082
24,09-02-21 12:50:00 ,16.058,69.527,11.8,17.106
25,09-02-21 12:55:00 ,16.129,69.127,11.8,17.082
26,09-02-21 13:00:00 ,16.201,69.112,11.8,17.082
27,09-02-21 13:05:00 ,16.249,68.872,11.8,17.034
28,09-02-21 13:10:00 ,16.272,68.571,19.7,17.011
29,09-02-21 13:15:00 ,16.320,68.552,19.7,17.058
30,09-02-21 13:20:00 ,16.344,68.668,19.7,17.106
31,09-02-21 13:25:00 ,16.368,68.921,11.8,17.177
32,09-02-21 13:30:00 ,16.392,69.313,11.8,17.249
33,09-02-21 13:35:00 ,16.415,69.428,11.8,17.296
34,09-02-21 13:40:00 ,16.439,69.377,19.7,17.368
35,09-02-21 13:45:00 ,16.463,69.326,11.8,17.415
36,09-02-21 13:50:00 ,16.511,69.280,11.8,17.463
37,09-02-21 13:55:00 ,16.534,69.229,11.8,17.510
38,09-02-21 14:00:00 ,16.558,69.206,11.8,17.534
39,09-02-21 14:05:00 ,16.582,69.127,11.8,17.558
40,09-02-21 14:10:00 ,16.606,69.076,19.7,17.582
41,09-02-21 14:15:00 ,16.630,68.997,11.8,17.605
42,09-02-21 14:20:00 ,16.677,68.950,19.7,17.629
43,09-02-21 14:25:00 ,16.701,68.899,11.8,17.653
44,09-02-21 14:30:00 ,16.725,68.848,11.8,17.701
45,09-02-21 14:35:00 ,16.749,68.825,11.8,17.724
46,09-02-21 14:40:00 ,16.749,68.797,11.8,17.748
47,09-02-21 14:45:00 ,16.796,68.778,11.8,17.796
48,09-02-21 14:50:00 ,16.820,68.782,11.8,17.819
49,09-02-21 14:55:00 ,16.844,68.787,11.8,17.843
50,09-02-21 15:00:00 ,16.868,68.763,11.8,17.867
51,09-02-21 15:05:00 ,16.892,68.740,11.8,17.891
52,09-02-21 15:10:00 ,16.915,68.744,11.8,17.915
53,09-02-21 15:15:00 ,16.939,68.748,19.7,17.915
54,09-02-21 15:20:00 ,16.939,68.748,11.8,17.938
55,09-02-21 15:25:00 ,16.987,68.701,11.8,17.915
56,09-02-21 15:30:00 ,17.011,68.706,11.8,17.915
57,09-02-21 15:35:00 ,17.034,68.654,11.8,17.891
58,09-02-21 15:40:00 ,17.058,68.631,11.8,17.915
59,09-02-21 15:45:00 ,17.082,68.607,11.8,17.915
60,09-02-21 15:50:00 ,17.106,68.584,11.8,17.891
61,09-02-21 15:55:00 ,17.130,68.560,11.8,17.891
62,09-02-21 16:00:00 ,17.153,68.537,11.8,17.891
