"Plot Title: 1418 Kitchen "
"#","Time, GMT-08:00","Temp, ¡C()","RH, %()","Intensity, Lux()"
1,09-02-20 08:30:00 ,16.844,73.267,3.9
2,09-02-20 08:35:00 ,18.319,65.810,11.8
3,09-02-20 08:40:00 ,18.224,65.021,3.9
4,09-02-20 08:45:00 ,18.176,64.870,3.9
5,09-02-20 08:50:00 ,18.271,66.343,3.9
6,09-02-20 08:55:00 ,18.485,67.458,3.9
7,09-02-20 09:00:00 ,18.723,66.905,3.9
8,09-02-20 09:05:00 ,18.961,66.150,11.8
9,09-02-20 09:10:00 ,18.961,65.693,35.5
10,09-02-20 09:15:00 ,18.794,65.978,43.4
11,09-02-20 09:20:00 ,18.604,66.316,59.1
12,09-02-20 09:25:00 ,18.461,66.661,59.1
13,09-02-20 09:30:00 ,18.343,66.923,27.6
14,09-02-20 09:35:00 ,18.271,67.194,35.5
15,09-02-20 09:40:00 ,18.200,67.407,43.4
16,09-02-20 09:45:00 ,18.200,67.492,59.1
17,09-02-20 09:50:00 ,18.224,67.270,67.0
18,09-02-20 09:55:00 ,18.295,67.141,74.9
19,09-02-20 10:00:00 ,18.390,67.300,59.1
20,09-02-20 10:05:00 ,18.414,67.162,43.4
21,09-02-20 10:10:00 ,18.390,66.988,35.5
22,09-02-20 10:15:00 ,18.366,66.984,27.6
23,09-02-20 10:20:00 ,18.343,66.980,27.6
24,09-02-20 10:25:00 ,18.295,66.943,19.7
25,09-02-20 10:30:00 ,18.271,66.939,11.8
26,09-02-20 10:35:00 ,18.271,66.684,11.8
27,09-02-20 10:40:00 ,18.271,66.485,11.8
28,09-02-20 10:45:00 ,18.247,66.481,11.8
29,09-02-20 10:50:00 ,18.224,66.449,11.8
30,09-02-20 10:55:00 ,18.176,66.497,19.7
31,09-02-20 11:00:00 ,18.176,66.582,11.8
32,09-02-20 11:05:00 ,18.152,66.578,27.6
33,09-02-20 11:10:00 ,18.152,66.578,19.7
34,09-02-20 11:15:00 ,18.176,66.412,27.6
35,09-02-20 11:20:00 ,18.176,66.327,27.6
36,09-02-20 11:25:00 ,18.176,66.270,19.7
37,09-02-20 11:30:00 ,18.176,66.327,19.7
38,09-02-20 11:35:00 ,18.152,66.351,11.8
39,09-02-20 11:40:00 ,18.152,66.379,11.8
40,09-02-20 11:45:00 ,18.152,66.408,11.8
41,09-02-20 11:50:00 ,18.152,66.351,11.8
42,09-02-20 11:55:00 ,18.176,66.327,11.8
43,09-02-20 12:00:00 ,18.200,66.189,11.8
44,09-02-20 12:05:00 ,18.200,66.160,19.7
45,09-02-20 12:10:00 ,18.224,66.022,19.7
46,09-02-20 12:15:00 ,18.224,66.022,19.7
47,09-02-20 12:20:00 ,18.247,66.026,27.6
48,09-02-20 12:25:00 ,18.247,66.026,27.6
49,09-02-20 12:30:00 ,18.295,65.663,19.7
50,09-02-20 12:35:00 ,18.319,65.610,35.5
51,09-02-20 12:40:00 ,18.366,65.533,35.5
52,09-02-20 12:45:00 ,18.390,65.537,19.7
53,09-02-20 12:50:00 ,18.414,65.427,43.4
54,09-02-20 12:55:00 ,18.438,65.373,43.4
55,09-02-20 13:00:00 ,18.461,65.320,43.4
56,09-02-20 13:05:00 ,18.509,65.242,35.5
57,09-02-20 13:10:00 ,18.557,65.078,51.2
58,09-02-20 13:15:00 ,18.628,64.918,59.1
59,09-02-20 13:20:00 ,18.652,64.893,43.4
60,09-02-20 13:25:00 ,18.699,64.786,43.4
61,09-02-20 13:30:00 ,18.723,64.762,19.7
62,09-02-20 13:35:00 ,18.723,64.646,19.7
63,09-02-20 13:40:00 ,18.723,64.618,3.9
64,09-02-20 13:45:00 ,18.723,64.502,3.9
65,09-02-20 13:50:00 ,18.747,64.535,3.9
66,09-02-20 13:55:00 ,18.771,64.453,3.9
67,09-02-20 14:00:00 ,18.771,64.453,3.9
68,09-02-20 14:05:00 ,18.771,64.424,3.9
69,09-02-20 14:10:00 ,18.794,64.370,3.9
70,09-02-20 14:15:00 ,18.794,64.312,3.9
71,09-02-20 14:20:00 ,18.818,64.230,3.9
72,09-02-20 14:25:00 ,18.842,64.176,3.9
73,09-02-20 14:30:00 ,18.889,64.039,3.9
74,09-02-20 14:35:00 ,18.913,63.956,3.9
75,09-02-20 14:40:00 ,18.937,63.989,3.9
76,09-02-20 14:45:00 ,18.937,63.902,3.9
77,09-02-20 14:50:00 ,18.961,63.790,3.9
78,09-02-20 14:55:00 ,18.961,63.645,3.9
79,09-02-20 15:00:00 ,18.985,63.591,3.9
80,09-02-20 15:05:00 ,19.032,63.454,3.9
81,09-02-20 15:10:00 ,19.056,63.341,3.9
82,09-02-20 15:15:00 ,19.056,63.312,3.9
83,09-02-20 15:20:00 ,19.056,63.283,3.9
84,09-02-20 15:25:00 ,19.080,63.229,3.9
85,09-02-20 15:30:00 ,19.080,63.170,3.9
86,09-02-20 15:35:00 ,19.080,63.170,3.9
87,09-02-20 15:40:00 ,19.103,63.116,3.9
88,09-02-20 15:45:00 ,19.127,63.062,3.9
89,09-02-20 15:50:00 ,19.127,62.974,3.9
90,09-02-20 15:55:00 ,19.127,63.003,3.9
91,09-02-20 16:00:00 ,19.151,63.007,3.9
92,09-02-20 16:05:00 ,19.151,62.978,3.9
93,09-02-20 16:10:00 ,19.151,63.007,3.9
94,09-02-20 16:15:00 ,19.151,62.978,3.9
95,09-02-20 16:20:00 ,19.175,62.924,3.9
96,09-02-20 16:25:00 ,19.199,62.898,3.9
97,09-02-20 16:30:00 ,19.199,62.898,3.9
98,09-02-20 16:35:00 ,19.175,62.894,3.9
99,09-02-20 16:40:00 ,19.199,62.869,3.9
100,09-02-20 16:45:00 ,19.175,62.865,3.9
101,09-02-20 16:50:00 ,19.175,62.865,3.9
102,09-02-20 16:55:00 ,19.199,62.840,3.9
103,09-02-20 17:00:00 ,19.199,62.752,3.9
104,09-02-20 17:05:00 ,19.199,62.752,3.9
105,09-02-20 17:10:00 ,19.175,62.748,3.9
106,09-02-20 17:15:00 ,19.175,62.719,3.9
107,09-02-20 17:20:00 ,19.151,62.715,3.9
108,09-02-20 17:25:00 ,19.151,62.686,3.9
109,09-02-20 17:30:00 ,19.175,62.631,3.9
110,09-02-20 17:35:00 ,19.175,62.573,3.9
111,09-02-20 17:40:00 ,19.151,62.569,3.9
112,09-02-20 17:45:00 ,19.151,62.569,3.9
113,09-02-20 17:50:00 ,19.127,62.565,3.9
114,09-02-20 17:55:00 ,19.103,62.649,3.9
115,09-02-20 18:00:00 ,19.103,62.532,3.9
116,09-02-20 18:05:00 ,19.103,62.444,3.9
117,09-02-20 18:10:00 ,19.103,62.415,3.9
118,09-02-20 18:15:00 ,19.103,62.415,3.9
119,09-02-20 18:20:00 ,19.080,62.411,3.9
120,09-02-20 18:25:00 ,19.056,62.466,3.9
121,09-02-20 18:30:00 ,19.032,62.550,3.9
122,09-02-20 18:35:00 ,19.032,62.608,3.9
123,09-02-20 18:40:00 ,19.032,62.783,3.9
124,09-02-20 18:45:00 ,19.103,62.883,3.9
125,09-02-20 18:50:00 ,19.199,62.635,3.9
126,09-02-20 18:55:00 ,19.270,62.471,3.9
127,09-02-20 19:00:00 ,19.365,62.252,3.9
128,09-02-20 19:05:00 ,19.413,62.054,3.9
129,09-02-20 19:10:00 ,19.413,61.996,3.9
130,09-02-20 19:15:00 ,19.413,61.996,3.9
131,09-02-20 19:20:00 ,19.389,62.021,3.9
132,09-02-20 19:25:00 ,19.341,62.072,3.9
133,09-02-20 19:30:00 ,19.318,62.127,3.9
134,09-02-20 19:35:00 ,19.246,62.174,3.9
135,09-02-20 19:40:00 ,19.222,62.258,3.9
136,09-02-20 19:45:00 ,19.175,62.280,3.9
137,09-02-20 19:50:00 ,19.151,62.247,3.9
138,09-02-20 19:55:00 ,19.127,62.243,3.9
139,09-02-20 20:00:00 ,19.103,62.298,3.9
140,09-02-20 20:05:00 ,19.032,62.374,3.9
141,09-02-20 20:10:00 ,19.008,62.429,3.9
142,09-02-20 20:15:00 ,18.961,62.509,3.9
143,09-02-20 20:20:00 ,18.937,62.505,3.9
144,09-02-20 20:25:00 ,18.913,62.501,3.9
145,09-02-20 20:30:00 ,18.842,62.489,3.9
146,09-02-20 20:35:00 ,18.818,62.485,3.9
147,09-02-20 20:40:00 ,18.771,62.536,3.9
148,09-02-20 20:45:00 ,18.723,62.557,3.9
149,09-02-20 20:50:00 ,18.675,62.579,3.9
150,09-02-20 20:55:00 ,18.652,62.575,3.9
151,09-02-20 21:00:00 ,18.628,62.483,3.9
152,09-02-20 21:05:00 ,18.580,62.476,3.9
153,09-02-20 21:10:00 ,18.533,62.468,3.9
154,09-02-20 21:15:00 ,18.485,62.518,3.9
155,09-02-20 21:20:00 ,18.461,62.514,3.9
156,09-02-20 21:25:00 ,18.414,62.448,3.9
157,09-02-20 21:30:00 ,18.390,62.415,3.9
158,09-02-20 21:35:00 ,18.366,62.382,3.9
159,09-02-20 21:40:00 ,18.343,62.407,3.9
160,09-02-20 21:45:00 ,18.295,62.458,3.9
161,09-02-20 21:50:00 ,18.271,62.512,3.9
162,09-02-20 21:55:00 ,18.224,62.534,3.9
163,09-02-20 22:00:00 ,18.176,62.584,3.9
164,09-02-20 22:05:00 ,18.176,62.526,3.9
165,09-02-20 22:10:00 ,18.152,62.522,3.9
166,09-02-20 22:15:00 ,18.105,62.573,3.9
167,09-02-20 22:20:00 ,18.057,62.681,3.9
168,09-02-20 22:25:00 ,18.033,62.736,3.9
169,09-02-20 22:30:00 ,17.986,62.757,3.9
170,09-02-20 22:35:00 ,17.962,62.753,3.9
171,09-02-20 22:40:00 ,17.962,62.724,3.9
172,09-02-20 22:45:00 ,17.915,62.716,3.9
173,09-02-20 22:50:00 ,17.891,62.741,3.9
174,09-02-20 22:55:00 ,17.843,62.791,3.9
175,09-02-20 23:00:00 ,17.796,62.842,3.9
176,09-02-20 23:05:00 ,17.772,62.838,3.9
177,09-02-20 23:10:00 ,17.772,62.838,3.9
178,09-02-20 23:15:00 ,17.748,62.805,3.9
179,09-02-20 23:20:00 ,17.701,62.826,3.9
180,09-02-20 23:25:00 ,17.677,62.851,3.9
181,09-02-20 23:30:00 ,17.629,62.901,3.9
182,09-02-20 23:35:00 ,17.605,62.955,3.9
183,09-02-20 23:40:00 ,17.558,62.977,3.9
184,09-02-20 23:45:00 ,17.558,62.890,3.9
185,09-02-20 23:50:00 ,17.558,62.773,3.9
186,09-02-20 23:55:00 ,17.510,62.795,3.9
187,09-02-21 00:00:00 ,17.463,62.816,3.9
188,09-02-21 00:05:00 ,17.415,62.866,3.9
189,09-02-21 00:10:00 ,17.368,62.916,3.9
190,09-02-21 00:15:00 ,17.320,62.966,3.9
191,09-02-21 00:20:00 ,17.320,62.908,11.8
192,09-02-21 00:25:00 ,17.296,62.846,3.9
193,09-02-21 00:30:00 ,17.249,62.867,11.8
194,09-02-21 00:35:00 ,17.201,62.917,3.9
195,09-02-21 00:40:00 ,17.153,62.939,11.8
196,09-02-21 00:45:00 ,17.130,62.964,11.8
197,09-02-21 00:50:00 ,17.082,62.985,3.9
198,09-02-21 00:55:00 ,17.058,62.952,3.9
199,09-02-21 01:00:00 ,17.034,62.919,11.8
200,09-02-21 01:05:00 ,16.987,62.911,3.9
201,09-02-21 01:10:00 ,16.939,62.932,3.9
202,09-02-21 01:15:00 ,16.915,62.957,3.9
203,09-02-21 01:20:00 ,16.844,63.003,3.9
204,09-02-21 01:25:00 ,16.820,62.999,3.9
205,09-02-21 01:30:00 ,16.796,63.024,3.9
206,09-02-21 01:35:00 ,16.773,62.991,3.9
207,09-02-21 01:40:00 ,16.749,62.958,3.9
208,09-02-21 01:45:00 ,16.701,62.979,3.9
209,09-02-21 01:50:00 ,16.654,63.000,3.9
210,09-02-21 01:55:00 ,16.606,63.021,3.9
211,09-02-21 02:00:00 ,16.558,63.071,3.9
212,09-02-21 02:05:00 ,16.534,63.125,3.9
213,09-02-21 02:10:00 ,16.511,63.063,3.9
214,09-02-21 02:15:00 ,16.487,63.030,3.9
215,09-02-21 02:20:00 ,16.439,63.051,3.9
216,09-02-21 02:25:00 ,16.415,63.076,3.9
217,09-02-21 02:30:00 ,16.368,63.068,3.9
218,09-02-21 02:35:00 ,16.320,63.147,11.8
219,09-02-21 02:40:00 ,16.272,63.139,3.9
220,09-02-21 02:45:00 ,16.249,63.193,3.9
221,09-02-21 02:50:00 ,16.225,63.131,11.8
222,09-02-21 02:55:00 ,16.201,63.127,3.9
223,09-02-21 03:00:00 ,16.153,63.148,3.9
224,09-02-21 03:05:00 ,16.129,63.173,3.9
225,09-02-21 03:10:00 ,16.082,63.222,3.9
226,09-02-21 03:15:00 ,16.034,63.272,3.9
227,09-02-21 03:20:00 ,16.010,63.297,3.9
228,09-02-21 03:25:00 ,15.986,63.322,3.9
229,09-02-21 03:30:00 ,15.963,63.289,3.9
230,09-02-21 03:35:00 ,15.939,63.256,3.9
231,09-02-21 03:40:00 ,15.891,63.334,3.9
232,09-02-21 03:45:00 ,15.867,63.388,3.9
233,09-02-21 03:50:00 ,15.796,63.433,3.9
234,09-02-21 03:55:00 ,15.772,63.487,11.8
235,09-02-21 04:00:00 ,15.748,63.569,3.9
236,09-02-21 04:05:00 ,15.724,63.536,3.9
237,09-02-21 04:10:00 ,15.724,63.565,3.9
238,09-02-21 04:15:00 ,15.700,63.561,3.9
239,09-02-21 04:20:00 ,15.652,63.639,3.9
240,09-02-21 04:25:00 ,15.629,63.721,3.9
241,09-02-21 04:30:00 ,15.581,63.799,3.9
242,09-02-21 04:35:00 ,15.557,63.823,11.8
243,09-02-21 04:40:00 ,15.533,63.848,3.9
244,09-02-21 04:45:00 ,15.509,63.901,3.9
245,09-02-21 04:50:00 ,15.509,63.901,3.9
246,09-02-21 04:55:00 ,15.485,63.897,3.9
247,09-02-21 05:00:00 ,15.438,63.889,3.9
248,09-02-21 05:05:00 ,15.414,63.970,3.9
249,09-02-21 05:10:00 ,15.390,64.024,3.9
250,09-02-21 05:15:00 ,15.366,64.077,3.9
251,09-02-21 05:20:00 ,15.318,64.126,11.8
252,09-02-21 05:25:00 ,15.318,64.240,3.9
253,09-02-21 05:30:00 ,15.318,64.154,3.9
254,09-02-21 05:35:00 ,15.294,64.179,3.9
255,09-02-21 05:40:00 ,15.270,64.260,3.9
256,09-02-21 05:45:00 ,15.247,64.284,3.9
257,09-02-21 05:50:00 ,15.223,64.309,3.9
258,09-02-21 05:55:00 ,15.199,64.390,3.9
259,09-02-21 06:00:00 ,15.175,64.443,3.9
260,09-02-21 06:05:00 ,15.151,64.553,3.9
261,09-02-21 06:10:00 ,15.151,64.467,3.9
262,09-02-21 06:15:00 ,15.151,64.496,3.9
263,09-02-21 06:20:00 ,15.175,64.727,3.9
264,09-02-21 06:25:00 ,15.199,64.760,3.9
265,09-02-21 06:30:00 ,15.199,64.561,3.9
266,09-02-21 06:35:00 ,15.175,64.443,3.9
267,09-02-21 06:40:00 ,15.175,64.443,3.9
268,09-02-21 06:45:00 ,15.127,64.435,11.8
269,09-02-21 06:50:00 ,15.127,64.463,3.9
270,09-02-21 06:55:00 ,15.127,64.435,3.9
271,09-02-21 07:00:00 ,15.127,64.378,3.9
272,09-02-21 07:05:00 ,15.079,64.398,11.8
273,09-02-21 07:10:00 ,15.055,64.423,3.9
274,09-02-21 07:15:00 ,15.031,64.419,3.9
275,09-02-21 07:20:00 ,15.008,64.471,3.9
276,09-02-21 07:25:00 ,14.984,64.524,3.9
277,09-02-21 07:30:00 ,14.936,64.516,3.9
278,09-02-21 07:35:00 ,14.936,64.544,3.9
279,09-02-21 07:40:00 ,14.936,64.544,3.9
280,09-02-21 07:45:00 ,14.936,64.516,3.9
281,09-02-21 07:50:00 ,14.912,64.512,3.9
282,09-02-21 07:55:00 ,14.888,64.536,3.9
283,09-02-21 08:00:00 ,14.888,64.565,3.9
284,09-02-21 08:05:00 ,14.864,64.589,11.8
285,09-02-21 08:10:00 ,14.840,64.641,3.9
286,09-02-21 08:15:00 ,14.816,64.751,3.9
287,09-02-21 08:20:00 ,14.792,64.803,3.9
288,09-02-21 08:25:00 ,14.816,64.864,3.9
289,09-02-21 08:30:00 ,14.816,64.836,3.9
290,09-02-21 08:35:00 ,14.816,64.836,3.9
291,09-02-21 08:40:00 ,14.792,64.888,3.9
292,09-02-21 08:45:00 ,14.768,64.969,3.9
293,09-02-21 08:50:00 ,14.768,65.026,11.8
294,09-02-21 08:55:00 ,14.768,65.111,3.9
295,09-02-21 09:00:00 ,14.745,65.135,3.9
296,09-02-21 09:05:00 ,14.745,65.304,11.8
297,09-02-21 09:10:00 ,14.792,65.425,27.6
298,09-02-21 09:15:00 ,14.840,65.434,11.8
299,09-02-21 09:20:00 ,14.864,65.438,27.6
300,09-02-21 09:25:00 ,14.864,65.438,11.8
301,09-02-21 09:30:00 ,14.912,66.878,11.8
302,09-02-21 09:35:00 ,15.390,68.687,11.8
303,09-02-21 09:40:00 ,15.843,65.976,19.7
304,09-02-21 09:45:00 ,15.867,65.584,27.6
305,09-02-21 09:50:00 ,15.796,65.600,19.7
306,09-02-21 09:55:00 ,15.772,65.596,35.5
307,09-02-21 10:00:00 ,15.748,65.592,27.6
308,09-02-21 10:05:00 ,15.724,65.701,35.5
309,09-02-21 10:10:00 ,15.700,65.838,19.7
310,09-02-21 10:15:00 ,15.676,65.946,19.7
311,09-02-21 10:20:00 ,15.676,65.918,27.6
312,09-02-21 10:25:00 ,15.676,65.946,27.6
313,09-02-21 10:30:00 ,15.724,66.152,27.6
314,09-02-21 10:35:00 ,15.796,66.362,27.6
315,09-02-21 10:40:00 ,15.843,66.342,11.8
